id;gk4_east;gk4_north;utm32_east;utm32_north
KANU000000000047;4360093.68;5266287.43;585895.11;5263580.20
KANU000000000048;4360093.68;5292181.07;584893.92;5289440.06
KANU000000000049;4360093.68;5318074.70;583889.23;5315299.78
KANU000000000050;4360093.68;5343968.34;582880.73;5341159.12
KANU000000000051;4360093.68;5369861.98;581868.45;5367018.58
KANU000000000063;4384935.71;5292181.07;609705.16;5290402.18
KANU000000000064;4384935.71;5318074.70;608700.22;5316265.42
KANU000000000065;4384935.71;5343968.34;607691.66;5342128.44
KANU000000000066;4384935.71;5369861.98;606679.36;5367991.36
KANU000000000077;4409777.75;5266287.43;635521.34;5265497.95
KANU000000000078;4409777.75;5292181.07;634519.82;5291364.65
KANU000000000079;4409777.75;5318074.70;633514.64;5317231.37
KANU000000000080;4409777.75;5343968.34;632505.89;5343097.71
KANU000000000081;4409777.75;5369861.98;631493.37;5368964.25
KANU000000000082;4409777.75;5395755.62;630477.26;5394830.38
KANU000000000083;4409777.75;5421649.26;629457.54;5420696.33
KANU000000000092;4434619.79;5266287.43;660339.25;5266456.99
KANU000000000093;4434619.79;5292181.07;659337.73;5292327.37
KANU000000000094;4434619.79;5318074.70;658332.50;5318197.62
KANU000000000095;4434619.79;5343968.34;657323.60;5344067.70
KANU000000000096;4434619.79;5369861.98;656310.86;5369937.46
KANU000000000097;4434619.79;5395755.62;655294.51;5395807.04
KANU000000000098;4434619.79;5421649.26;654274.54;5421676.58
