Lage;DE_DHDN_3GK_SL197;;ETRS89_UTM32;
Gemeinde/Stadt;Rechtswert;Hochwert;East;North
Lauterbach;2553203,000;5448710,000;32334477,886;5449195,148
Naßweiler;2561148,000;5447101,000;32342352,011;5447272,872
Rilchingen;2576900,000;5442490,000;32357906,305;5442042,656
Reinheim;2585760,000;5444475,000;32366835,770;5443674,939
Utweiler;2594990,000;5444000,000;32376037,040;5442835,117
Brenschelbach;2599130,000;5446202,000;32380259,597;5444870,793
Altheim;2595740,000;5449235,000;32376993,476;5448034,646
Bliesdalheim;2590150,000;5449100,000;32371404,228;5448121,193
Bübingen;2576650,000;5449150,000;32357920,250;5448705,868
Aßweiler;2586250,000;5453860,000;32367696,976;5453030,638
Bierbach;2594180,000;5459550,000;32375844,014;5458400,090
Rentrich;2578300,000;5458890,000;32359954,651;5458370,627
Saarbrücken;2571950,000;5454980,000;32353455,944;5454716,334
Völklingen;2563300,000;5457760,000;32344924,473;5457836,679
Geislautern;2560335,000;5454830,000;32341846,033;5455026,976
Berus;2549100,000;5458320,000;32330759,434;5458959,439
Ihn;2543180,000;5465180,000;32325116,717;5466048,606
Ensdorf;2557350,000;5463000,000;32339187,866;5463307,933
Riegelsberg;2568500,000;5464100,000;32350371,090;5463964,322
Pachten;2550730,000;5469240,000;32332821,546;5469805,265
Reisbach;2562910,000;5469650,000;32345006,807;5469731,012
Wiesbach;2571350,000;5470110,000;32353456,970;5469855,287
Neunkirchen;2585540,000;5468890,000;32367584,030;5468072,906
Bexbach;2592250,000;5467480,000;32374230,821;5466397,971
Erbach;2599820,000;5469530,000;32381873,791;5468145,099
Höchen;2592500,000;5473650,000;32374725,624;5472551,285
Ottweiler;2583590,000;5475850,000;32365912,628;5475103,048
Dirmingen;2573685,000;5476870,000;32356058,325;5476515,785
Schmelz;2563440,000;5478390,000;32345883,718;5478441,720
Reimsbach;2555558,000;5478810,000;32338025,698;5479174,842
Bietzen;2547680,000;5475260,000;32330013,452;5475941,277
Biringen;2540278,000;5475055,000;32322609,515;5476030,767
Tünsdorf;2536260,000;5482350,000;32318884,982;5483479,716
Merzig;2546290,000;5479370,000;32328788,111;5480103,041
Büschfeld;2562760,000;5484420,000;32345444,286;5484493,090
Tholey;2575210,000;5483930,000;32357862,638;5483508,046
St. Wendel;2584190,000;5482680,000;32366783,625;5481901,992
Marth;2590525,000;5482760,000;32373115,015;5481729,856
Schwarzerden;2593700,000;5489600,000;32376558,783;5488435,961
Gronig;2579100,000;5487420,000;32361887,595;5486839,632
Lockweiler;2566900,000;5488540,000;32349744,373;5488444,329
Losheim;2554030,000;5487050,000;32336827,023;5487468,247
Orscholz;2537618,000;5485250,000;32320357,343;5486323,325
Perl;2527600,000;5482730,000;32310246,850;5484204,153
Nennig;2527080,000;5489010,000;32309977,353;5490500,124
Sinz;2531210,000;5488500,000;32314083,872;5489825,970
Saarhölzbach;2543530,000;5486030,000;32326295,529;5486867,266
Bergen;2550527,000;5488370,000;32333379,703;5488926,589
Weiskirchen;2559060,000;5491600,000;32342033,680;5491813,738
Nonnweiler;2571230,000;5498330,000;32354460,270;5498052,189
Nohfelden;2582410,000;5495510,000;32365516,427;5494789,361
Freisen;2590890,000;5491850,000;32373841,493;5490795,395
